# Voice Name,Bank Select MSB,Bank Select LSB,MIDI Program Change#
XGlite LM Square,0,8,81
XGlite Hollow,0,18,81
XGlite Shroud,0,19,81
XGlite Mellow,0,64,81
XGlite Solo Sine,0,65,81
XGlite Sine Lead,0,66,81
XGlite Sawtooth Lead 1,0,0,82
XGlite Sawtooth Lead 2,0,6,82
XGlite Thick Sawtooth,0,8,82
XGlite Dynamic Sawtooth,0,18,82
XGlite Digital Sawtooth,0,19,82
XGlite Big Lead,0,20,82
XGlite Heavy Synth,0,24,82
XGlite Waspy Synth,0,25,82
XGlite Pulse Sawtooth,0,40,82
XGlite Dr. Lead,0,41,82
XGlite Velocity Lead,0,45,82
XGlite Sequenced Analog,0,96,82
XGlite Calliope Lead,0,0,83
XGlite Pure Lead,0,65,83
XGlite Chiff Lead,0,0,84
XGlite Rubby,0,64,84
XGlite Charang Lead,0,0,85
XGlite Distorted Lead,0,64,85
XGlite Wire Lead,0,65,85
XGlite Voice Lead,0,0,86
XGlite Synth Aahs,0,24,86
XGlite Vox Lead,0,64,86
XGlite Fifths Lead,0,0,87
XGlite Big Five,0,35,87
XGlite Bass & Lead,0,0,88
XGlite Big & Low,0,16,88
XGlite Fat & Perky,0,64,88
XGlite Soft Whirl,0,65,88
XGlite New Age Pad,0,0,89
XGlite Fantasy,0,64,89
XGlite Warm Pad,0,0,90
XGlite Thick Pad,0,16,90
XGlite Soft Pad,0,17,90
XGlite Sine Pad,0,18,90
XGlite Horn Pad,0,64,90
XGlite Rotary Strings,0,65,90
XGlite Poly Synth Pad,0,0,91
XGlite Poly Pad 80,0,64,91
XGlite Click Pad,0,65,91
XGlite Analog Pad,0,66,91
XGlite Square Pad,0,67,91
XGlite Choir Pad,0,0,92
XGlite Heaven,0,64,92
XGlite Itopia,0,66,92
XGlite CC Pad,0,67,92
XGlite Bowed Pad,0,0,93
XGlite Glacier,0,64,93
XGlite Glass Pad,0,65,93
XGlite Metallic Pad,0,0,94
XGlite Tine Pad,0,64,94
XGlite Pan Pad,0,65,94
XGlite Halo Pad,0,0,95
XGlite Sweep Pad,0,0,96
XGlite Shwimmer,0,20,96
XGlite Converge,0,27,96
XGlite Polar Pad,0,64,96
XGlite Celestial,0,66,96
XGlite Rain,0,0,97
XGlite Clavi Pad,0,45,97
XGlite Harmo Rain,0,64,97
XGlite African Wind,0,65,97
XGlite Carib,0,66,97
XGlite Sound Track,0,0,98
XGlite Prologue,0,27,98
XGlite Ancestral,0,64,98
XGlite Crystal,0,0,99
XGlite Synth Drum Comp,0,12,99
XGlite Popcorn,0,14,99
XGlite Tiny Bells,0,18,99
XGlite Round Glockenspiel,0,35,99
XGlite Glockenspiel Chimes,0,40,99
XGlite Clear Bells,0,41,99
XGlite Chorus Bells,0,42,99
XGlite Synth Mallet,0,64,99
XGlite Soft Crystal,0,65,99
XGlite Loud Glockenspiel,0,66,99
XGlite Christmas Bells,0,67,99
XGlite Vibraphone Bells,0,68,99
XGlite Digital Bells,0,69,99
XGlite Air Bells,0,70,99
XGlite Bell Harp,0,71,99
XGlite Gamelimba,0,72,99
XGlite Atmosphere,0,0,100
XGlite Warm Atmosphere,0,18,100
XGlite Hollow Release,0,19,100
XGlite Nylon Electric Piano,0,40,100
XGlite Nylon Harp,0,64,100
XGlite Harp Vox,0,65,100
XGlite Atmosphere Pad,0,66,100
XGlite Planet,0,67,100
XGlite Brightness,0,0,101
XGlite Fantasy Bells,0,64,101
XGlite Smokey,0,96,101
XGlite Goblins,0,0,102
XGlite Goblins Synth,0,64,102
XGlite Creeper,0,65,102
XGlite Ring Pad,0,66,102
XGlite Ritual,0,67,102
XGlite To Heaven,0,68,102
XGlite Night,0,70,102
XGlite Glisten,0,71,102
XGlite Bell Choir,0,96,102
XGlite Echoes 1,0,0,103
XGlite Echoes 2,0,8,103
XGlite Echo Pan,0,14,103
XGlite Echo Bells,0,64,103
XGlite Big Pan,0,65,103
XGlite Synth Piano,0,66,103
XGlite Creation,0,67,103
XGlite Star Dust,0,68,103
XGlite Resonant & Panning,0,69,103
XGlite Starz,0,64,104
XGlite Banjo,0,0,106
XGlite Muted Banjo,0,28,106
XGlite Shanai,0,64,112
XGlite Tamboura,0,97,105
XGlite Tinkle Bell,0,0,113
XGlite Bonang,0,96,113
XGlite Altair,0,97,113
XGlite Gamelan Gongs,0,98,113
XGlite Stereo Gamelan Gongs,0,99,113
XGlite Rama Cymbal,0,100,113
XGlite Asian Bells,0,101,113
XGlite Agogo,0,0,114
XGlite Steel Drums,0,0,115
XGlite Glass Percussion,0,97,115
XGlite Thai Bells,0,98,115
XGlite Woodblock,0,0,116
XGlite Castanets,0,96,116
XGlite Taiko Drum,0,0,117
XGlite Gran Cassa,0,96,117
XGlite Melodic Tom 1,0,0,118
XGlite Melodic Tom 2,0,64,118
XGlite Real Tom,0,65,118
XGlite Rock Tom,0,66,118
XGlite Synth Drum,0,0,119
XGlite Analog Tom,0,64,119
XGlite Electronic Percussion,0,65,119
XGlite Reverse Cymbal,0,0,120
XGlite Fret Noise,0,0,121
XGlite Breath Noise,0,0,122
XGlite Seashore,0,0,123
XGlite Bird Tweet 1,0,0,124
XGlite Telephone Ring 1,0,0,125
XGlite Helicopter,0,0,126
XGlite Applause,0,0,127
XGlite Gunshot,0,0,128
XGlite Cutting Noise 1,64,0,1
XGlite Cutting Noise 2,64,0,2
XGlite String Slap,64,0,4
XGlite Flute Key Click,64,0,17
XGlite Shower,64,0,33
XGlite Thunder,64,0,34
XGlite Wind,64,0,35
XGlite Stream,64,0,36
XGlite Bubble,64,0,37
XGlite Feed,64,0,38
XGlite Dog,64,0,49
XGlite Horse,64,0,50
XGlite Bird Tweet 2,64,0,51
XGlite Maou,64,0,56
XGlite Phone Call,64,0,65
XGlite Door Squeak,64,0,66
XGlite Door Slam,64,0,67
XGlite Scratch Cut,64,0,68
XGlite Scratch Split,64,0,69
XGlite Wind Chime,64,0,70
XGlite Telephone Ring 2,64,0,71
XGlite Car Engine Ignition,64,0,81
XGlite Car Tires Squeal,64,0,82
XGlite Car Passing,64,0,83
XGlite Car Crash,64,0,84
XGlite Siren,64,0,85
XGlite Train,64,0,86
XGlite Jet Plane,64,0,87
XGlite Starship,64,0,88
XGlite Burst,64,0,89
XGlite Roller Coaster,64,0,90
XGlite Submarine,64,0,91
XGlite Laugh,64,0,97
XGlite Scream,64,0,98
XGlite Punch,64,0,99
XGlite Heartbeat,64,0,100
XGlite Footsteps,64,0,101
XGlite Machine Gun,64,0,113
XGlite Laser Gun,64,0,114
XGlite Explosion,64,0,115
XGlite Firework,64,0,116
